variable_group,content_json,variable,classification,category_code,legend_start_str,legend_str_1,legend_str_2,legend_str_3
Health,2021-HUC,Disability,disability_4a,disability_4a-003,{PERCENTAGE}%,of people in {location},are,not disabled under the equality act
Health,2021-HUC,General health,health_in_general,health_in_general-001,{PERCENTAGE}%,of households in {location},have,very good health
Health,2021-HUC,General health,health_in_general,health_in_general-002,{PERCENTAGE}%,of households in {location},have,good health
Health,2021-HUC,General health,health_in_general,health_in_general-003,{PERCENTAGE}%,of households in {location},have,fair health
Health,2021-HUC,General health,health_in_general,health_in_general-004,{PERCENTAGE}%,of households in {location},have,bad health
Health,2021-HUC,General health,health_in_general,health_in_general-005,{PERCENTAGE}%,of households in {location},have,very bad health
Health,2021-HUC,General health,health_in_general_3a,health_in_general_3a-001,{PERCENTAGE}%,of households in {location},have,good health
Health,2021-HUC,General health,health_in_general_3a,health_in_general_3a-002,{PERCENTAGE}%,of households in {location},have,not good health
Health,2021-HUC,General health,health_in_general_4a,health_in_general_4a-001,{PERCENTAGE}%,of households in {location},have,very good or good health
Health,2021-HUC,General health,health_in_general_4a,health_in_general_4a-002,{PERCENTAGE}%,of households in {location},have,fair health
Health,2021-HUC,General health,health_in_general_4a,health_in_general_4a-003,{PERCENTAGE}%,of households in {location},have,bad or very bad health
Health,2021-HUC,Provision of unpaid care,is_carer,is_carer-001,{PERCENTAGE}%,of people in {location},provide,no unpaid care
Health,2021-HUC,Provision of unpaid care,is_carer,is_carer-002,{PERCENTAGE}%,of people in {location},provide,9 hours or less unpaid care a week
Health,2021-HUC,Provision of unpaid care,is_carer,is_carer-003,{PERCENTAGE}%,of people in {location},provide,10 to 19 hours unpaid care a week
Health,2021-HUC,Provision of unpaid care,is_carer,is_carer-004,{PERCENTAGE}%,of people in {location},provide,20 to 34 hours unpaid care a week
Health,2021-HUC,Provision of unpaid care,is_carer,is_carer-005,{PERCENTAGE}%,of people in {location},provide,35 to 49 hours unpaid care a week
Health,2021-HUC,Provision of unpaid care,is_carer,is_carer-006,{PERCENTAGE}%,of people in {location},provide,50 or more hours unpaid care a week
Health,2021-HUC,Provision of unpaid care,is_carer_5a,is_carer_5a-001,{PERCENTAGE}%,of people in {location},provide,no unpaid care
Health,2021-HUC,Provision of unpaid care,is_carer_5a,is_carer_5a-002,{PERCENTAGE}%,of people in {location},provide,19 or less hours unpaid care a week
Health,2021-HUC,Provision of unpaid care,is_carer_5a,is_carer_5a-003,{PERCENTAGE}%,of people in {location},provide,20 to 49 hours unpaid care a week
Health,2021-HUC,Provision of unpaid care,is_carer_5a,is_carer_5a-004,{PERCENTAGE}%,of people in {location},provide,50 or more hours unpaid care a week
Housing,2021-HOU,Accommodation type,accommodation_type,accommodation_type-001,{PERCENTAGE}%,of households in {location},are,detached
Housing,2021-HOU,Accommodation type,accommodation_type,accommodation_type-002,{PERCENTAGE}%,of households in {location},are,semi-detached
Housing,2021-HOU,Accommodation type,accommodation_type,accommodation_type-003,{PERCENTAGE}%,of households in {location},are,terraced
Housing,2021-HOU,Accommodation type,accommodation_type,accommodation_type-004,{PERCENTAGE}%,of households in {location},are,in a purpose-built block of flats or tenement
Housing,2021-HOU,Accommodation type,accommodation_type,accommodation_type-005,{PERCENTAGE}%,of households in {location},are,"part of a converted or shared house, including bedsits"
Housing,2021-HOU,Accommodation type,accommodation_type,accommodation_type-006,{PERCENTAGE}%,of households in {location},are,"part of another converted building, for example, former school, church or warehouse"
Housing,2021-HOU,Accommodation type,accommodation_type,accommodation_type-007,{PERCENTAGE}%,of households in {location},are,"in a commercial building, for example, in an office building, hotel or over a shop"
Housing,2021-HOU,Accommodation type,accommodation_type,accommodation_type-008,{PERCENTAGE}%,of households in {location},are,a caravan or other mobile or temporary structure
Housing,2021-HOU,Accommodation type,accommodation_type_3a,accommodation_type_3a-001,{PERCENTAGE}%,of households in {location},are,whole houses or bungalows
Housing,2021-HOU,Accommodation type,accommodation_type_3a,accommodation_type_3a-002,{PERCENTAGE}%,of households in {location},are,"flats, maisonettes or apartments"
Housing,2021-HOU,Accommodation type,accommodation_type_3a,accommodation_type_3a-003,{PERCENTAGE}%,of households in {location},are,a caravan or other mobile or temporary structure
Housing,2021-HOU,Accommodation type,accommodation_type_5a,accommodation_type_5a-001,{PERCENTAGE}%,of households in {location},are,detached whole houses or bungalows
Housing,2021-HOU,Accommodation type,accommodation_type_5a,accommodation_type_5a-002,{PERCENTAGE}%,of households in {location},are,semi-detached whole houses or bungalows
Housing,2021-HOU,Accommodation type,accommodation_type_5a,accommodation_type_5a-003,{PERCENTAGE}%,of households in {location},are,terraced whole houses or bungalows
Housing,2021-HOU,Accommodation type,accommodation_type_5a,accommodation_type_5a-004,{PERCENTAGE}%,of households in {location},are,"flats, maisonettes or apartments"
Housing,2021-HOU,Accommodation type,accommodation_type_5a,accommodation_type_5a-005,{PERCENTAGE}%,of households in {location},are,a caravan or other mobile or temporary structure
Housing,2021-HOU,Number of bedrooms,number_bedrooms_5a,number_bedrooms_5a-001,{PERCENTAGE}%,of households in {location},have ,1 bedroom
Housing,2021-HOU,Number of bedrooms,number_bedrooms_5a,number_bedrooms_5a-002,{PERCENTAGE}%,of households in {location},have ,2 bedrooms
Housing,2021-HOU,Number of bedrooms,number_bedrooms_5a,number_bedrooms_5a-003,{PERCENTAGE}%,of households in {location},have ,3 bedrooms
Housing,2021-HOU,Number of bedrooms,number_bedrooms_5a,number_bedrooms_5a-004,{PERCENTAGE}%,of households in {location},have ,4 or more bedrooms
Housing,2021-HOU,Number of cars or vans,number_of_cars_3a,number_of_cars_3a-000,{PERCENTAGE}%,of households in {location},have,no cars or vans
Housing,2021-HOU,Number of cars or vans,number_of_cars_3a,number_of_cars_3a-001,{PERCENTAGE}%,of households in {location},have,1 or more cars or vans
Housing,2021-HOU,Number of cars or vans,number_of_cars_5a,number_of_cars_5a-000,{PERCENTAGE}%,of households in {location},have,no cars or vans
Housing,2021-HOU,Number of cars or vans,number_of_cars_5a,number_of_cars_5a-001,{PERCENTAGE}%,of households in {location},have,1 car or van
Housing,2021-HOU,Number of cars or vans,number_of_cars_5a,number_of_cars_5a-002,{PERCENTAGE}%,of households in {location},have,2 cars or vans 
Housing,2021-HOU,Number of cars or vans,number_of_cars_5a,number_of_cars_5a-003,{PERCENTAGE}%,of households in {location},have,3 or more cars or vans
Housing,2021-HOU,Occupancy rating for bedrooms,occupancy_rating_bedrooms_6a,occupancy_rating_bedrooms_6a-001,{PERCENTAGE}%,of households in {location},have,an occupancy rating of +2 or more of bedrooms
Housing,2021-HOU,Occupancy rating for bedrooms,occupancy_rating_bedrooms_6a,occupancy_rating_bedrooms_6a-002,{PERCENTAGE}%,of households in {location},have,an occupancy rating of +1 of bedrooms
Housing,2021-HOU,Occupancy rating for bedrooms,occupancy_rating_bedrooms_6a,occupancy_rating_bedrooms_6a-003,{PERCENTAGE}%,of households in {location},have,an occupancy rating of 0 of bedrooms
Housing,2021-HOU,Occupancy rating for bedrooms,occupancy_rating_bedrooms_6a,occupancy_rating_bedrooms_6a-004,{PERCENTAGE}%,of households in {location},have,an occupancy rating of -1 of bedrooms
Housing,2021-HOU,Occupancy rating for bedrooms,occupancy_rating_bedrooms_6a,occupancy_rating_bedrooms_6a-005,{PERCENTAGE}%,of households in {location},have,an occupancy rating of -2 of bedrooms
Housing,2021-HOU,Occupancy rating for rooms,occupancy_rating_rooms_6a,occupancy_rating_rooms_6a-001,{PERCENTAGE}%,of households in {location},have,an occupancy rating of +2 or more of rooms
Housing,2021-HOU,Occupancy rating for rooms,occupancy_rating_rooms_6a,occupancy_rating_rooms_6a-002,{PERCENTAGE}%,of households in {location},have,an occupancy rating of +1 of rooms
Housing,2021-HOU,Occupancy rating for rooms,occupancy_rating_rooms_6a,occupancy_rating_rooms_6a-003,{PERCENTAGE}%,of households in {location},have,an occupancy rating of 0 of rooms
Housing,2021-HOU,Occupancy rating for rooms,occupancy_rating_rooms_6a,occupancy_rating_rooms_6a-004,{PERCENTAGE}%,of households in {location},have,an occupancy rating of -1 of rooms
Housing,2021-HOU,Occupancy rating for rooms,occupancy_rating_rooms_6a,occupancy_rating_rooms_6a-005,{PERCENTAGE}%,of households in {location},have,an occupancy rating of -2 of rooms
Housing,2021-HOU,Second address indicator,alternative_address_indicator,alternative_address_indicator-001,{PERCENTAGE}%,of people in {location},have,no second address
Housing,2021-HOU,Second address indicator,alternative_address_indicator,alternative_address_indicator-002,{PERCENTAGE}%,of people in {location},have,a second address in the UK
Housing,2021-HOU,Second address indicator,alternative_address_indicator,alternative_address_indicator-003,{PERCENTAGE}%,of people in {location},have,a second address outside the UK
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-001,{PERCENTAGE}%,of people in {location}'s second address,is,an armed forces base address
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-002,{PERCENTAGE}%,of people in {location}'s second address,is,another address when working away from home
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-003,{PERCENTAGE}%,of people in {location}'s second address,is,a holiday home
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-004,{PERCENTAGE}%,of people in {location}'s second address,is,a student's term-time address
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-005,{PERCENTAGE}%,of people in {location}'s second address,is,a student's home address
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-006,{PERCENTAGE}%,of people in {location}'s second address,is,another parent or guardian's address
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-007,{PERCENTAGE}%,of people in {location}'s second address,is,a partner's address
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-008,{PERCENTAGE}%,of people in {location}'s second address,is,other
Housing,2021-HOU,Second address type,second_address_type_priority,second_address_type_priority-009,{PERCENTAGE}%,of people in {location},have,a second address of a type not specified
Housing,2021-HOU,Tenure of household,hh_tenure_5a,hh_tenure_5a-000,{PERCENTAGE}%,of households in {location},are,owned outright
Housing,2021-HOU,Tenure of household,hh_tenure_5a,hh_tenure_5a-001,{PERCENTAGE}%,of households in {location},are,"owned with a mortgage, loan, or shared ownership"
Housing,2021-HOU,Tenure of household,hh_tenure_5a,hh_tenure_5a-002,{PERCENTAGE}%,of households in {location},are,socially rented
Housing,2021-HOU,Tenure of household,hh_tenure_5a,hh_tenure_5a-003,{PERCENTAGE}%,of households in {location},are,privately rented or rent free
Housing,2021-HOU,Tenure of household,hh_tenure_9a,hh_tenure_9a-000,{PERCENTAGE}%,of households in {location},are,owned outright
Housing,2021-HOU,Tenure of household,hh_tenure_9a,hh_tenure_9a-001,{PERCENTAGE}%,of households in {location},are,owned with a mortgage or loan
Housing,2021-HOU,Tenure of household,hh_tenure_9a,hh_tenure_9a-002,{PERCENTAGE}%,of households in {location},are,under shared ownership
Housing,2021-HOU,Tenure of household,hh_tenure_9a,hh_tenure_9a-003,{PERCENTAGE}%,of households in {location},are,socially rented from a council or local authority
Housing,2021-HOU,Tenure of household,hh_tenure_9a,hh_tenure_9a-004,{PERCENTAGE}%,of households in {location},are,otherwise socially rented
Housing,2021-HOU,Tenure of household,hh_tenure_9a,hh_tenure_9a-005,{PERCENTAGE}%,of households in {location},are,privately rented from a landlord or letting agency
Housing,2021-HOU,Tenure of household,hh_tenure_9a,hh_tenure_9a-006,{PERCENTAGE}%,of households in {location},are,otherwise privately rented
Housing,2021-HOU,Tenure of household,hh_tenure_9a,hh_tenure_9a-007,{PERCENTAGE}%,of households in {location},are,rent free
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-001,{PERCENTAGE}%,of households in {location},have ,no central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-002,{PERCENTAGE}%,of households in {location},have ,mains gas central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-003,{PERCENTAGE}%,of households in {location},have ,tank or bottled gas central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-004,{PERCENTAGE}%,of households in {location},have ,electric central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-005,{PERCENTAGE}%,of households in {location},have ,oil central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-006,{PERCENTAGE}%,of households in {location},have ,wood central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-007,{PERCENTAGE}%,of households in {location},have ,solid fuel central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-008,{PERCENTAGE}%,of households in {location},have ,renewable central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-009,{PERCENTAGE}%,of households in {location},are,part of a district or communal heat network
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-010,{PERCENTAGE}%,of households in {location},have ,another type of central heating
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-011,{PERCENTAGE}%,of households in {location},have ,two or more types of central heating (not including renewable energy)
Housing,2021-HOU,Type of central heating in household,heating_type,heating_type-012,{PERCENTAGE}%,of households in {location},have ,two or more types of central heating (including renewable energy)
Housing,2021-HOU,Type of central heating in household,heating_type_3a,heating_type_3a-001,{PERCENTAGE}%,of households in {location},have,no central heating
Housing,2021-HOU,Type of central heating in household,heating_type_3a,heating_type_3a-002,{PERCENTAGE}%,of households in {location},have ,central heating
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-001,{PERCENTAGE}%,of people in {location},are,"Asian, Asian British or Asian Welsh: Bangladeshi"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-002,{PERCENTAGE}%,of people in {location},are,"Asian, Asian British or Asian Welsh: Chinese"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-003,{PERCENTAGE}%,of people in {location},are,"Asian, Asian British or Asian Welsh: Indian"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-004,{PERCENTAGE}%,of people in {location},are,"Asian, Asian British or Asian Welsh: Pakistani"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-005,{PERCENTAGE}%,of people in {location},are,"Asian, Asian British or Asian Welsh: Other Asian"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-006,{PERCENTAGE}%,of people in {location},are,"Black, Black British, Black Welsh, Caribbean or African: African"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-007,{PERCENTAGE}%,of people in {location},are,"Black, Black British, Black Welsh, Caribbean or African: Caribbean"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-008,{PERCENTAGE}%,of people in {location},are,"Black, Black British, Black Welsh, Caribbean or African: Other Black"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-009,{PERCENTAGE}%,of people in {location},are,Mixed or Multiple ethnic groups: White and Asian
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-010,{PERCENTAGE}%,of people in {location},are,Mixed or Multiple ethnic groups: White and Black African
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-011,{PERCENTAGE}%,of people in {location},are,Mixed or Multiple ethnic groups: White and Black Caribbean
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-012,{PERCENTAGE}%,of people in {location},are,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-013,{PERCENTAGE}%,of people in {location},are,"White: English, Welsh, Scottish, Northern Irish or British"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-014,{PERCENTAGE}%,of people in {location},are,White: Irish
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-015,{PERCENTAGE}%,of people in {location},are,White: Gypsy or Irish Traveller
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-016,{PERCENTAGE}%,of people in {location},are,White: Roma
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-017,{PERCENTAGE}%,of people in {location},are,White: Other White
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-018,{PERCENTAGE}%,of people in {location},are,Arab
Identity,2021-EILR,Ethnic group,ethnic_group_tb_20b,ethnic_group_tb_20b-019,{PERCENTAGE}%,of people in {location},are,from any other ethnic group
Identity,2021-EILR,Ethnic group,ethnic_group_tb_6a,ethnic_group_tb_6a-001,{PERCENTAGE}%,of people in {location},are,"Asian, Asian British or Asian Welsh"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_6a,ethnic_group_tb_6a-002,{PERCENTAGE}%,of people in {location},are,"Black, Black British, Black Welsh, Caribbean or African"
Identity,2021-EILR,Ethnic group,ethnic_group_tb_6a,ethnic_group_tb_6a-003,{PERCENTAGE}%,of people in {location},are,from mixed or multiple ethnic groups
Identity,2021-EILR,Ethnic group,ethnic_group_tb_6a,ethnic_group_tb_6a-004,{PERCENTAGE}%,of people in {location},are,White
Identity,2021-EILR,Ethnic group,ethnic_group_tb_6a,ethnic_group_tb_6a-005,{PERCENTAGE}%,of people in {location},are,from any other ethnic group
Identity,2021-EILR,Household language (English and Welsh),hh_language,hh_language-001,{PERCENTAGE}%,of households in {location},have,"English in England, or English or Welsh in Wales, as the main language for all adults"
Identity,2021-EILR,Household language (English and Welsh),hh_language,hh_language-002,{PERCENTAGE}%,of households in {location},have,"English in England, or English or Welsh in Wales, as the main language for some but not all adults"
Identity,2021-EILR,Household language (English and Welsh),hh_language,hh_language-003,{PERCENTAGE}%,of households in {location},have,"English in England, or English or Welsh in Wales, as the main language for no adults but some children (aged 3-15 years)"
Identity,2021-EILR,Household language (English and Welsh),hh_language,hh_language-004,{PERCENTAGE}%,of households in {location},have,"no members that have English in England, or English or Welsh in Wales, as their main language."
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-001,{PERCENTAGE}%,of people in {location},speak,English (English or Welsh in Wales) as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-002,{PERCENTAGE}%,of people in {location},speak,Welsh or Cymraeg (in England only) as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-003,{PERCENTAGE}%,of people in {location},speak,Gaelic (Irish) as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-004,{PERCENTAGE}%,of people in {location},speak,Gaelic (Scottish) as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-005,{PERCENTAGE}%,of people in {location},speak,Manx Gaelic as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-006,{PERCENTAGE}%,of people in {location},speak,Gaelic (Not otherwise specified) as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-007,{PERCENTAGE}%,of people in {location},speak,Cornish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-008,{PERCENTAGE}%,of people in {location},speak,Scots as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-009,{PERCENTAGE}%,of people in {location},speak,Ulster Scots as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-010,{PERCENTAGE}%,of people in {location},speak,Romany English as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-011,{PERCENTAGE}%,of people in {location},speak,Irish Traveller Cant as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-012,{PERCENTAGE}%,of people in {location},speak,French as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-013,{PERCENTAGE}%,of people in {location},speak,Portuguese as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-014,{PERCENTAGE}%,of people in {location},speak,Spanish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-015,{PERCENTAGE}%,of people in {location},speak,Italian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-016,{PERCENTAGE}%,of people in {location},speak,German as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-017,{PERCENTAGE}%,of people in {location},speak,Polish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-018,{PERCENTAGE}%,of people in {location},speak,Slovak as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-019,{PERCENTAGE}%,of people in {location},speak,Czech as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-020,{PERCENTAGE}%,of people in {location},speak,Romanian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-021,{PERCENTAGE}%,of people in {location},speak,Lithuanian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-022,{PERCENTAGE}%,of people in {location},speak,Latvian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-023,{PERCENTAGE}%,of people in {location},speak,Hungarian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-024,{PERCENTAGE}%,of people in {location},speak,Bulgarian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-025,{PERCENTAGE}%,of people in {location},speak,Greek as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-026,{PERCENTAGE}%,of people in {location},speak,Dutch as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-027,{PERCENTAGE}%,of people in {location},speak,Swedish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-028,{PERCENTAGE}%,of people in {location},speak,Danish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-029,{PERCENTAGE}%,of people in {location},speak,Finnish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-030,{PERCENTAGE}%,of people in {location},speak,Estonian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-031,{PERCENTAGE}%,of people in {location},speak,Slovenian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-032,{PERCENTAGE}%,of people in {location},speak,Maltese as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-033,{PERCENTAGE}%,of people in {location},speak,any other European language (EU) as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-034,{PERCENTAGE}%,of people in {location},speak,Albanian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-035,{PERCENTAGE}%,of people in {location},speak,Ukrainian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-036,{PERCENTAGE}%,of people in {location},speak,any other Eastern European language (non-EU) as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-037,{PERCENTAGE}%,of people in {location},speak,any Northern European language (non-EU) as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-038,{PERCENTAGE}%,of people in {location},speak,"Bosnian, Croatian, Serbian, or Montenegrin as their main language"
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-039,{PERCENTAGE}%,of people in {location},speak,any Romani language as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-040,{PERCENTAGE}%,of people in {location},speak,Yiddish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-041,{PERCENTAGE}%,of people in {location},speak,Russian as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-042,{PERCENTAGE}%,of people in {location},speak,Turkish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-043,{PERCENTAGE}%,of people in {location},speak,Arabic as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-044,{PERCENTAGE}%,of people in {location},speak,Hebrew as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-045,{PERCENTAGE}%,of people in {location},speak,Kurdish as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-046,{PERCENTAGE}%,of people in {location},speak,Persian or Farsi as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-047,{PERCENTAGE}%,of people in {location},speak,Pashto as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-048,{PERCENTAGE}%,of people in {location},speak,any other West or Central Asian language as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-049,{PERCENTAGE}%,of people in {location},speak,Urdu as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-050,{PERCENTAGE}%,of people in {location},speak,Hindi as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-051,{PERCENTAGE}%,of people in {location},speak,Panjabi as their main language
Identity,2021-EILR,Main language (detailed),main_language_detailed,main_language_detailed-052,{PERCENTAGE}%,of people in {location},speak,Pakistani Pahari (with Mirpuri and Potwari) as their main language
