variable_group,content_json,variable,classification,2021_data_available_geotypes,2011_2021_comparison_data_available_geotypes
Population,2021-MIG,year_arrival_uk,year_arrival_uk,"oa,msoa,lad",
Population,2021-MIG,year_arrival_uk,year_arrival_uk_6a,"oa,msoa,lad",
Work,2021-LAB,economic_activity,economic_activity_status_10a,"oa,msoa,lad",lad
Work,2021-LAB,economic_activity,economic_activity_status_3a,"oa,msoa,lad",
Work,2021-LAB,economic_activity,economic_activity_status_4a,"oa,msoa,lad","oa,msoa,lad"
Work,2021-LAB,has_ever_worked,has_ever_worked,"oa,msoa,lad",
Work,2021-LAB,hours_per_week_worked,hours_per_week_worked,"oa,msoa,lad",lad
Work,2021-LAB,hours_per_week_worked,hours_per_week_worked_3a,"oa,msoa,lad","oa,msoa,lad"
Work,2021-LAB,industry_current,industry_current_88a,"msoa,lad",lad
Work,2021-LAB,ns_sec,ns_sec_10a,"oa,msoa,lad",
Work,2021-LAB,occupation_current,occupation_current_10a,"msoa,lad",
Work,2021-TTW,transport_to_workplace,transport_to_workplace_12a,"msoa,lad",
Work,2021-TTW,workplace_travel,workplace_travel,"msoa,lad",
Work,2021-TTW,workplace_travel,workplace_travel_4a,"msoa,lad",
Work,2021-TTW,workplace_travel,workplace_travel_5a,"msoa,lad",
