ADMIN_variable_group,ADMIN_variable,ADMIN_classification,ADMIN_category_code,ADMIN_category_name,ADMIN_legend_start_str,EDIT_THIS_legend_str_1,EDIT_THIS_legend_str_2,EDIT_THIS_legend_str_3,OLD_legend_str_3
Population,Age,resident_age_101a,resident_age_101a-005,Aged 5 years,{PERCENTAGE}%,of people in {location},are,aged 5 years,aged 5 years
Population,Age,resident_age_101a,resident_age_101a-006,Aged 6 years,{PERCENTAGE}%,of people in {location},are,aged 6 years,aged 6 years
Population,Age,resident_age_101a,resident_age_101a-007,Aged 7 years,{PERCENTAGE}%,of people in {location},are,aged 7 years,aged 7 years
Population,Age,resident_age_101a,resident_age_101a-008,Aged 8 years,{PERCENTAGE}%,of people in {location},are,aged 8 years,aged 8 years
Population,Age,resident_age_101a,resident_age_101a-009,Aged 9 years,{PERCENTAGE}%,of people in {location},are,aged 9 years,aged 9 years
Population,Age,resident_age_101a,resident_age_101a-010,Aged 10 years,{PERCENTAGE}%,of people in {location},are,aged 10 years,aged 10 years
Population,Age,resident_age_101a,resident_age_101a-011,Aged 11 years,{PERCENTAGE}%,of people in {location},are,aged 11 years,aged 11 years
Population,Age,resident_age_101a,resident_age_101a-012,Aged 12 years,{PERCENTAGE}%,of people in {location},are,aged 12 years,aged 12 years
Population,Age,resident_age_101a,resident_age_101a-013,Aged 13 years,{PERCENTAGE}%,of people in {location},are,aged 13 years,aged 13 years
Population,Age,resident_age_101a,resident_age_101a-014,Aged 14 years,{PERCENTAGE}%,of people in {location},are,aged 14 years,aged 14 years
Population,Age,resident_age_101a,resident_age_101a-015,Aged 15 years,{PERCENTAGE}%,of people in {location},are,aged 15 years,aged 15 years
Population,Age,resident_age_101a,resident_age_101a-016,Aged 16 years,{PERCENTAGE}%,of people in {location},are,aged 16 years,aged 16 years
Population,Age,resident_age_101a,resident_age_101a-017,Aged 17 years,{PERCENTAGE}%,of people in {location},are,aged 17 years,aged 17 years
Population,Age,resident_age_101a,resident_age_101a-018,Aged 18 years,{PERCENTAGE}%,of people in {location},are,aged 18 years,aged 18 years
Population,Age,resident_age_101a,resident_age_101a-019,Aged 19 years,{PERCENTAGE}%,of people in {location},are,aged 19 years,aged 19 years
Population,Age,resident_age_101a,resident_age_101a-020,Aged 20 years,{PERCENTAGE}%,of people in {location},are,aged 20 years,aged 20 years
Population,Age,resident_age_101a,resident_age_101a-021,Aged 21 years,{PERCENTAGE}%,of people in {location},are,aged 21 years,aged 21 years
Population,Age,resident_age_101a,resident_age_101a-022,Aged 22 years,{PERCENTAGE}%,of people in {location},are,aged 22 years,aged 22 years
Population,Age,resident_age_101a,resident_age_101a-023,Aged 23 years,{PERCENTAGE}%,of people in {location},are,aged 23 years,aged 23 years
Population,Age,resident_age_101a,resident_age_101a-024,Aged 24 years,{PERCENTAGE}%,of people in {location},are,aged 24 years,aged 24 years
Population,Age,resident_age_101a,resident_age_101a-025,Aged 25 years,{PERCENTAGE}%,of people in {location},are,aged 25 years,aged 25 years
Population,Age,resident_age_101a,resident_age_101a-026,Aged 26 years,{PERCENTAGE}%,of people in {location},are,aged 26 years,aged 26 years
Population,Age,resident_age_101a,resident_age_101a-027,Aged 27 years,{PERCENTAGE}%,of people in {location},are,aged 27 years,aged 27 years
Population,Age,resident_age_101a,resident_age_101a-028,Aged 28 years,{PERCENTAGE}%,of people in {location},are,aged 28 years,aged 28 years
Population,Age,resident_age_101a,resident_age_101a-029,Aged 29 years,{PERCENTAGE}%,of people in {location},are,aged 29 years,aged 29 years
Population,Age,resident_age_101a,resident_age_101a-030,Aged 30 years,{PERCENTAGE}%,of people in {location},are,aged 30 years,aged 30 years
Population,Age,resident_age_101a,resident_age_101a-031,Aged 31 years,{PERCENTAGE}%,of people in {location},are,aged 31 years,aged 31 years
Population,Age,resident_age_101a,resident_age_101a-032,Aged 32 years,{PERCENTAGE}%,of people in {location},are,aged 32 years,aged 32 years
Population,Age,resident_age_101a,resident_age_101a-033,Aged 33 years,{PERCENTAGE}%,of people in {location},are,aged 33 years,aged 33 years
Population,Age,resident_age_101a,resident_age_101a-034,Aged 34 years,{PERCENTAGE}%,of people in {location},are,aged 34 years,aged 34 years
Population,Age,resident_age_101a,resident_age_101a-035,Aged 35 years,{PERCENTAGE}%,of people in {location},are,aged 35 years,aged 35 years
Population,Age,resident_age_101a,resident_age_101a-036,Aged 36 years,{PERCENTAGE}%,of people in {location},are,aged 36 years,aged 36 years
Population,Age,resident_age_101a,resident_age_101a-037,Aged 37 years,{PERCENTAGE}%,of people in {location},are,aged 37 years,aged 37 years
Population,Age,resident_age_101a,resident_age_101a-038,Aged 38 years,{PERCENTAGE}%,of people in {location},are,aged 38 years,aged 38 years
Population,Age,resident_age_101a,resident_age_101a-039,Aged 39 years,{PERCENTAGE}%,of people in {location},are,aged 39 years,aged 39 years
Population,Age,resident_age_101a,resident_age_101a-040,Aged 40 years,{PERCENTAGE}%,of people in {location},are,aged 40 years,aged 40 years
Population,Age,resident_age_101a,resident_age_101a-041,Aged 41 years,{PERCENTAGE}%,of people in {location},are,aged 41 years,aged 41 years
Population,Age,resident_age_101a,resident_age_101a-042,Aged 42 years,{PERCENTAGE}%,of people in {location},are,aged 42 years,aged 42 years
Population,Age,resident_age_101a,resident_age_101a-043,Aged 43 years,{PERCENTAGE}%,of people in {location},are,aged 43 years,aged 43 years
Population,Age,resident_age_101a,resident_age_101a-044,Aged 44 years,{PERCENTAGE}%,of people in {location},are,aged 44 years,aged 44 years
Population,Age,resident_age_101a,resident_age_101a-045,Aged 45 years,{PERCENTAGE}%,of people in {location},are,aged 45 years,aged 45 years
Population,Age,resident_age_101a,resident_age_101a-046,Aged 46 years,{PERCENTAGE}%,of people in {location},are,aged 46 years,aged 46 years
Population,Age,resident_age_101a,resident_age_101a-047,Aged 47 years,{PERCENTAGE}%,of people in {location},are,aged 47 years,aged 47 years
Population,Age,resident_age_101a,resident_age_101a-048,Aged 48 years,{PERCENTAGE}%,of people in {location},are,aged 48 years,aged 48 years
Population,Age,resident_age_101a,resident_age_101a-049,Aged 49 years,{PERCENTAGE}%,of people in {location},are,aged 49 years,aged 49 years
Population,Age,resident_age_101a,resident_age_101a-050,Aged 50 years,{PERCENTAGE}%,of people in {location},are,aged 50 years,aged 50 years
Population,Age,resident_age_101a,resident_age_101a-051,Aged 51 years,{PERCENTAGE}%,of people in {location},are,aged 51 years,aged 51 years
Population,Age,resident_age_101a,resident_age_101a-052,Aged 52 years,{PERCENTAGE}%,of people in {location},are,aged 52 years,aged 52 years
Population,Age,resident_age_101a,resident_age_101a-053,Aged 53 years,{PERCENTAGE}%,of people in {location},are,aged 53 years,aged 53 years
Population,Age,resident_age_101a,resident_age_101a-054,Aged 54 years,{PERCENTAGE}%,of people in {location},are,aged 54 years,aged 54 years
Population,Age,resident_age_101a,resident_age_101a-055,Aged 55 years,{PERCENTAGE}%,of people in {location},are,aged 55 years,aged 55 years
Population,Age,resident_age_101a,resident_age_101a-056,Aged 56 years,{PERCENTAGE}%,of people in {location},are,aged 56 years,aged 56 years
Population,Age,resident_age_101a,resident_age_101a-057,Aged 57 years,{PERCENTAGE}%,of people in {location},are,aged 57 years,aged 57 years
Population,Age,resident_age_101a,resident_age_101a-058,Aged 58 years,{PERCENTAGE}%,of people in {location},are,aged 58 years,aged 58 years
Population,Age,resident_age_101a,resident_age_101a-059,Aged 59 years,{PERCENTAGE}%,of people in {location},are,aged 59 years,aged 59 years
Population,Age,resident_age_101a,resident_age_101a-060,Aged 60 years,{PERCENTAGE}%,of people in {location},are,aged 60 years,aged 60 years
Population,Age,resident_age_101a,resident_age_101a-061,Aged 61 years,{PERCENTAGE}%,of people in {location},are,aged 61 years,aged 61 years
Population,Age,resident_age_101a,resident_age_101a-062,Aged 62 years,{PERCENTAGE}%,of people in {location},are,aged 62 years,aged 62 years
Population,Age,resident_age_101a,resident_age_101a-063,Aged 63 years,{PERCENTAGE}%,of people in {location},are,aged 63 years,aged 63 years
Population,Age,resident_age_101a,resident_age_101a-064,Aged 64 years,{PERCENTAGE}%,of people in {location},are,aged 64 years,aged 64 years
Population,Age,resident_age_101a,resident_age_101a-065,Aged 65 years,{PERCENTAGE}%,of people in {location},are,aged 65 years,aged 65 years
Population,Age,resident_age_101a,resident_age_101a-066,Aged 66 years,{PERCENTAGE}%,of people in {location},are,aged 66 years,aged 66 years
Population,Age,resident_age_101a,resident_age_101a-067,Aged 67 years,{PERCENTAGE}%,of people in {location},are,aged 67 years,aged 67 years
Population,Age,resident_age_101a,resident_age_101a-068,Aged 68 years,{PERCENTAGE}%,of people in {location},are,aged 68 years,aged 68 years
Population,Age,resident_age_101a,resident_age_101a-069,Aged 69 years,{PERCENTAGE}%,of people in {location},are,aged 69 years,aged 69 years
Population,Age,resident_age_101a,resident_age_101a-070,Aged 70 years,{PERCENTAGE}%,of people in {location},are,aged 70 years,aged 70 years
Population,Age,resident_age_101a,resident_age_101a-071,Aged 71 years,{PERCENTAGE}%,of people in {location},are,aged 71 years,aged 71 years
Population,Age,resident_age_101a,resident_age_101a-072,Aged 72 years,{PERCENTAGE}%,of people in {location},are,aged 72 years,aged 72 years
Population,Age,resident_age_101a,resident_age_101a-073,Aged 73 years,{PERCENTAGE}%,of people in {location},are,aged 73 years,aged 73 years
Population,Age,resident_age_101a,resident_age_101a-074,Aged 74 years,{PERCENTAGE}%,of people in {location},are,aged 74 years,aged 74 years
Population,Age,resident_age_101a,resident_age_101a-075,Aged 75 years,{PERCENTAGE}%,of people in {location},are,aged 75 years,aged 75 years
Population,Age,resident_age_101a,resident_age_101a-076,Aged 76 years,{PERCENTAGE}%,of people in {location},are,aged 76 years,aged 76 years
Population,Age,resident_age_101a,resident_age_101a-077,Aged 77 years,{PERCENTAGE}%,of people in {location},are,aged 77 years,aged 77 years
Population,Age,resident_age_101a,resident_age_101a-078,Aged 78 years,{PERCENTAGE}%,of people in {location},are,aged 78 years,aged 78 years
Population,Age,resident_age_101a,resident_age_101a-079,Aged 79 years,{PERCENTAGE}%,of people in {location},are,aged 79 years,aged 79 years
Population,Age,resident_age_101a,resident_age_101a-080,Aged 80 years,{PERCENTAGE}%,of people in {location},are,aged 80 years,aged 80 years
Population,Age,resident_age_101a,resident_age_101a-081,Aged 81 years,{PERCENTAGE}%,of people in {location},are,aged 81 years,aged 81 years
Population,Age,resident_age_101a,resident_age_101a-082,Aged 82 years,{PERCENTAGE}%,of people in {location},are,aged 82 years,aged 82 years
Population,Age,resident_age_101a,resident_age_101a-083,Aged 83 years,{PERCENTAGE}%,of people in {location},are,aged 83 years,aged 83 years
Population,Age,resident_age_101a,resident_age_101a-084,Aged 84 years,{PERCENTAGE}%,of people in {location},are,aged 84 years,aged 84 years
Population,Age,resident_age_101a,resident_age_101a-085,Aged 85 years,{PERCENTAGE}%,of people in {location},are,aged 85 years,aged 85 years
Population,Age,resident_age_101a,resident_age_101a-086,Aged 86 years,{PERCENTAGE}%,of people in {location},are,aged 86 years,aged 86 years
Population,Age,resident_age_101a,resident_age_101a-087,Aged 87 years,{PERCENTAGE}%,of people in {location},are,aged 87 years,aged 87 years
Population,Age,resident_age_101a,resident_age_101a-088,Aged 88 years,{PERCENTAGE}%,of people in {location},are,aged 88 years,aged 88 years
Population,Age,resident_age_101a,resident_age_101a-089,Aged 89 years,{PERCENTAGE}%,of people in {location},are,aged 89 years,aged 89 years
Population,Age,resident_age_101a,resident_age_101a-090,Aged 90 years,{PERCENTAGE}%,of people in {location},are,aged 90 years,aged 90 years
Population,Age,resident_age_101a,resident_age_101a-091,Aged 91 years,{PERCENTAGE}%,of people in {location},are,aged 91 years,aged 91 years
Population,Age,resident_age_101a,resident_age_101a-092,Aged 92 years,{PERCENTAGE}%,of people in {location},are,aged 92 years,aged 92 years
Population,Age,resident_age_101a,resident_age_101a-093,Aged 93 years,{PERCENTAGE}%,of people in {location},are,aged 93 years,aged 93 years
Population,Age,resident_age_101a,resident_age_101a-094,Aged 94 years,{PERCENTAGE}%,of people in {location},are,aged 94 years,aged 94 years
Population,Age,resident_age_101a,resident_age_101a-095,Aged 95 years,{PERCENTAGE}%,of people in {location},are,aged 95 years,aged 95 years
Population,Age,resident_age_101a,resident_age_101a-096,Aged 96 years,{PERCENTAGE}%,of people in {location},are,aged 96 years,aged 96 years
Population,Age,resident_age_101a,resident_age_101a-097,Aged 97 years,{PERCENTAGE}%,of people in {location},are,aged 97 years,aged 97 years
Population,Age,resident_age_101a,resident_age_101a-098,Aged 98 years,{PERCENTAGE}%,of people in {location},are,aged 98 years,aged 98 years
Population,Age,resident_age_101a,resident_age_101a-099,Aged 99 years,{PERCENTAGE}%,of people in {location},are,aged 99 years,aged 99 years
Population,Age,resident_age_101a,resident_age_101a-100,Aged 100 years and over,{PERCENTAGE}%,of people in {location},are,aged 100 years and over,aged 100 years and over
Population,Sex,sex,sex-001,Female,{PERCENTAGE}%,of people in {location},are,female,female
Population,Sex,sex,sex-002,Male,{PERCENTAGE}%,of people in {location},are,male,male
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-001,Living in an opposite-sex couple: Married or in a civil partnership,{PERCENTAGE}%,of people in {location},are,living in an opposite-sex couple that is married or in a civil partnership,living in an opposite-sex couple: married or in a civil partnership
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-002,Living in a same-sex couple: Married or in a civil partnership,{PERCENTAGE}%,of people in {location},are,living in a same-sex couple that is married or in a civil partnership,living in a same-sex couple: married or in a civil partnership
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-003,"Living in a couple: Separated, but still married or in a civil partnership",{PERCENTAGE}%,of people in {location},are,"living in a couple that is separated, but still married or in a civil partnership","living in a couple: separated, but still married or in a civil partnership"
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-004,Living in an opposite-sex couple: Cohabiting,{PERCENTAGE}%,of people in {location},are,living in an opposite-sex couple that is cohabiting,living in an opposite-sex couple: cohabiting
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-005,Living in a same-sex couple: Cohabiting,{PERCENTAGE}%,of people in {location},are,living in a same-sex couple that is cohabiting,living in a same-sex couple: cohabiting
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-006,Not living in a couple: Single (never married and never registered a same-sex civil partnership),{PERCENTAGE}%,of people in {location},are,single (never married and never registered a same-sex civil partnership),not living in a couple: single (never married and never registered a same-sex civil partnership)
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-007,Not living in a couple: Married or in a registered civil partnership,{PERCENTAGE}%,of people in {location},are,"not living in a couple, but married or in a registered civil partnership",not living in a couple: married or in a registered civil partnership
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-008,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),{PERCENTAGE}%,of people in {location},are,separated (including those who are married and those who are in civil partnerships),not living in a couple: separated (including those who are married and those who are in civil partnerships)
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-009,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,{PERCENTAGE}%,of people in {location},are,divorced or formerly in a civil partnership which is now legally dissolved,not living in a couple: divorced or formerly in a civil partnership which is now legally dissolved
Population,Living arrangements,living_arrangements_11a,living_arrangements_11a-010,Not living in a couple: Widowed or surviving partner from a civil partnership,{PERCENTAGE}%,of people in {location},are,widowed or surviving partner from a civil partnership,not living in a couple: widowed or surviving partner from a civil partnership
Population,Household deprivation,hh_deprivation,hh_deprivation-001,Household is not deprived in any dimension,{PERCENTAGE}%,of households in {location},are,not deprived in any dimension,household is not deprived in any dimension
Population,Household deprivation,hh_deprivation,hh_deprivation-002,Household is deprived in one dimension,{PERCENTAGE}%,of households in {location},are,deprived in one dimension,household is deprived in one dimension
Population,Household deprivation,hh_deprivation,hh_deprivation-003,Household is deprived in two dimensions,{PERCENTAGE}%,of households in {location},are,deprived in two dimensions,household is deprived in two dimensions
Population,Household deprivation,hh_deprivation,hh_deprivation-004,Household is deprived in three dimensions,{PERCENTAGE}%,of households in {location},are,deprived in three dimensions,household is deprived in three dimensions
Population,Household deprivation,hh_deprivation,hh_deprivation-005,Household is deprived in four dimensions,{PERCENTAGE}%,of households in {location},are,deprived in four dimensions,household is deprived in four dimensions
Population,Multiple ethnic groups in household,hh_multi_ethnic_group,hh_multi_ethnic_group-001,One-person household,{PERCENTAGE}%,of households in {location},are,one-person households,one-person household
Population,Multiple ethnic groups in household,hh_multi_ethnic_group,hh_multi_ethnic_group-002,All household members have the same ethnic group,{PERCENTAGE}%,of households in {location},have,members that all have the same ethnic group,all household members have the same ethnic group
Population,Multiple ethnic groups in household,hh_multi_ethnic_group,hh_multi_ethnic_group-003,Ethnic groups differ between generations but not within partnerships,{PERCENTAGE}%,of households in {location},have,members from ethnic groups that differ between generations but not within partnerships,ethnic groups differ between generations but not within partnerships
